,angry,disgust,fear,happy,sad,surprise,neutral
angry,518,12,82,65,146,21,114
disgust,25,57,7,4,9,2,7
fear,122,7,368,51,250,104,122
happy,49,0,20,1493,66,40,106
sad,126,7,100,81,675,26,232
surprise,21,4,55,52,24,642,33
neutral,77,4,57,96,199,24,776
